id,target,,,
ZzBoUzhRWTJiUklUSFBmcvePB0mj6gXu4ccgO4D8tMY=,1.00282,,,
ZXpMMGFkckZKUFZnNFhEcfpxtvUkXw8MT9SmZ5QMSFM=,0.994297,,,
ZXFvRUtCbHprNEFwTGhXeUW2li6mAuKkVtInfU/eHx4=,1.01298,,,
ZWNKQ1lnN3BPRjBQYXVJZGd7qzqw5/wqaNJYFL9R6Yc=,1.00282,,,
ZWFmR3pOWHlpN1ZUSE9Tc1793NyktdlYX7cTbSwf8no=,1.0022262,,,
ZWcwdThXVGJSN3JGQjlQY2lN1B6FIj6JoFhdeCXYUx4=,1.00282,,,
ZW9IYjI1ZFB0blhUZnlXUf3oJEi+9Rv3nHjbLx6HlG0=,0.9917104,,,
ZUU4MVRaSU1jdHFESFZ3Qvpkd4iW9jQnRnp5rQ4wtV4=,1.00282,,,
ZUlKTDdpRmtEQ3FWdnk5cHEkui2Q2VWIe6YRxOp9a1c=,1.00282,,,
ZUJJQTYyczVEanlMSE9HSo0Xbf5PmeF+hkZ06M28UN4=,1.00282,,,
ZU5wNFlVZmJvQnoyeXh3S4NQV4pWSLHQx8rwJYcG0Ws=,1.00394,,,
ZTN3STIwT0p4N2dSdTREb4efWUCsX60tNf+BAV+fACU=,0.999350,,,
ZTM0SHdzamJUdkljbHpTb640RvkSi/MzLrDv4juTLnA=,1.00642,,,
ZTgxZlMwdWlBN3ZCZ3I0ec4jWIAINgE8My0DU6dfnMY=,1.00690,,,
ZTA1ZzgzVVZqbVBJMkdxazcmTvlPQOUb+xfXB15+adQ=,1.00282,,,
ZnVqQnR3M2wxcGIweGdjWRY3vhicuf+4Xs3EwGlCHRQ=,1.00282,,,
Zno5ckNoQURTYTJURzhJUutZuKco28qIFT5w395E68s=,1.00282,,,
ZnNoUmlXWlNuWTkzWDB4NfJnJGm/0tjJ2W2YJp8MwvI=,0.994297,,,
ZnhTUnV5cFpGTHZsblBRd2m9o5dhZ1nHsvCZllvT+w0=,1.0011621,,,
ZndGVGVYTEhxa2wzSW1nNLgoofx1LIuv1aZLYV+REUo=,1.00282,,,
